"year" "month" "Ftemp" "Ctemp"
"419" 1903 8 69.1 20.6
"420" 1903 9 67 19.4
"421" 1904 1 25.3 -3.7
"422" 1904 10 53.8 12.1
"423" 1904 11 42.4 5.8
"424" 1904 12 30.3 -0.9
"425" 1904 2 25.4 -3.7
"426" 1904 3 36.4 2.4
"427" 1904 4 46.6 8.1
"428" 1904 5 63.4 17.4
"429" 1904 6 70.2 21.2
"430" 1904 7 74.6 23.7
"431" 1904 8 73 22.8
"432" 1904 9 66.8 19.3
"433" 1905 1 29.3 -1.5
"434" 1905 10 59.4 15.2
"435" 1905 11 44.1 6.7
"436" 1905 12 38.9 3.8
"437" 1905 2 24.8 -4
"438" 1905 3 40.4 4.7
"439" 1905 4 49.9 9.9
"440" 1905 5 61.5 16.4
"441" 1905 6 69.9 21.1
"442" 1905 7 77.1 25.1
"443" 1905 8 74.3 23.5
"444" 1905 9 69.6 20.9
"445" 1906 1 38.4 3.6
"446" 1906 10 57.5 14.2
"447" 1906 11 45.5 7.5
"448" 1906 12 34.2 1.2
"449" 1906 2 32.8 0.4
"450" 1906 3 35.6 2
"451" 1906 4 51.6 10.9
"452" 1906 5 63.1 17.3
"453" 1906 6 73.6 23.1
"454" 1906 7 77.1 25.1
"455" 1906 8 77.1 25.1
"456" 1906 9 70.1 21.2
"457" 1907 1 34.9 1.6
"458" 1907 10 52.7 11.5
"459" 1907 11 46.2 7.9
"460" 1907 12 38.8 3.8
"461" 1907 2 25.9 -3.4
"462" 1907 3 42.5 5.8
"463" 1907 4 46.7 8.2
"464" 1907 5 56.2 13.4
"465" 1907 6 68.6 20.3
"466" 1907 7 77.4 25.2
"467" 1907 8 73.4 23
"468" 1907 9 66.9 19.4
"469" 1908 1 33.5 0.8
"470" 1908 10 60.8 16
"471" 1908 11 46.8 8.2
"472" 1908 12 37.6 3.1
"473" 1908 2 27.5 -2.5
"474" 1908 3 41.4 5.2
"475" 1908 4 52.2 11.2
"476" 1908 5 63.4 17.4
"477" 1908 6 73 22.8
"478" 1908 7 79.8 26.6
"479" 1908 8 75.8 24.3
"480" 1908 9 68.6 20.3
"481" 1909 1 34.7 1.5
"482" 1909 10 54.5 12.5
"483" 1909 11 49.5 9.7
"484" 1909 12 32.4 0.2
"485" 1909 2 37.7 3.2
"486" 1909 3 37.8 3.2
"487" 1909 4 48.4 9.1
"488" 1909 5 61 16.1
"489" 1909 6 72.1 22.3
"490" 1909 7 73.5 23.1
"491" 1909 8 72.2 22.3
"492" 1909 9 66.8 19.3
"493" 1910 1 31.1 -0.5
"494" 1910 10 58.8 14.9
"495" 1910 11 42.3 5.7
"496" 1910 12 30 -1.1
"497" 1910 2 30 -1.1
"498" 1910 3 43 6.1
"499" 1910 4 55.1 12.8
"500" 1910 5 61 16.1
"501" 1910 6 68.7 20.4
"502" 1910 7 77.2 25.1
"503" 1910 8 72 22.2
"504" 1910 9 69.4 20.8
"505" 1911 1 36.3 2.4
"506" 1911 10 56.2 13.4
"507" 1911 11 42.7 5.9
"508" 1911 12 39.4 4.1
"509" 1911 2 31.3 -0.4
"510" 1911 3 34.7 1.5
"511" 1911 4 47.8 8.8
"512" 1911 5 64.1 17.8
"513" 1911 6 69.8 21
"514" 1911 7 77.6 25.3
"515" 1911 8 72.8 22.7
"516" 1911 9 67.6 19.8
"517" 1912 1 23.7 -4.6
"518" 1912 10 59.2 15.1
"519" 1912 11 47.8 8.8
"520" 1912 12 39.3 4.1
"521" 1912 2 28.8 -1.8
"522" 1912 3 37.6 3.1
"523" 1912 4 50.4 10.2
"524" 1912 5 62.3 16.8
"525" 1912 6 69.7 20.9
"526" 1912 7 75.7 24.3
"527" 1912 8 71.7 22.1
"528" 1912 9 66.6 19.2
"529" 1913 1 40.9 4.9
"530" 1913 10 58.6 14.8
"531" 1913 11 47.3 8.5
"532" 1913 12 38.7 3.7
"533" 1913 2 31.3 -0.4
"534" 1913 3 44.8 7.1
"535" 1913 4 52.5 11.4
"536" 1913 5 60.7 15.9
"537" 1913 6 70.5 21.4
"538" 1913 7 76.1 24.5
"539" 1913 8 73.4 23
"540" 1913 9 64.6 18.1
"541" 1914 1 31.5 -0.3
"542" 1914 10 59.4 15.2
"543" 1914 11 44.5 6.9
"544" 1914 12 31.6 -0.2
